title, artist, genre, song_link
Havana,Camila Cabello,TOP 40,https://www.youtube.com/watch?v=BQ0mxQXmLsk
PILLOWTALK,ZAYN,TOP 40,https://www.youtube.com/watch?v=C_3d6GntKbk
Shape of You,Ed Sheeran,TOP 40,https://www.youtube.com/watch?v=JGwWNGJdvx8
Wild Thoughts,"DJ Khaled ft. Rihanna, Bryson Tiller",TOP 40,https://www.youtube.com/watch?v=fyaI4-5849w
Walk on Water,Eminem ft. Beyonce,TOP 40,https://www.youtube.com/watch?v=n1WpP7iowLc
Play It Again,Luke Bryan,COUNTRY,https://www.youtube.com/watch?v=ALV-QtDFpSw
Female,Keith Urban,COUNTRY,https://www.youtube.com/watch?v=_qSW96a2aKY
Legends,Kelsea Ballerini,COUNTRY,https://www.youtube.com/watch?v=nGa2-kOW810
Body Like a Back Road,Sam Hunt,COUNTRY,https://www.youtube.com/watch?v=Mdh2p03cRfw
The Rest of Our Life,Tim McGraw ft. Faith Hill,COUNTRY,https://www.youtube.com/watch?v=pqdaskhEa0I
In a Sentimental Mood,John Coltrane,JAZZ,https://www.youtube.com/watch?v=r594pxUjcz4
What a Wonderful World,Louis Armstrong,JAZZ,https://www.youtube.com/watch?v=A3yCcXgbKrE
Dream a Little Dream of Me,Ella Fitzgerald,JAZZ,https://www.youtube.com/watch?v=j6TmogXhOZ8
All the Things You Are,Charlie Parker,JAZZ,https://www.youtube.com/watch?v=UTORd2Y_X6U
Save Your Love for Me,Cannonball Adderley,JAZZ,https://www.youtube.com/watch?v=eQ98YTcX7OM
Brown Sugar,D’angelo,R & B,https://youtu.be/VaV7oCyFXaY
Sugar Daddy,D’angelo,R & B,https://youtu.be/vo3RAH0zLlU
End of the Road,Boyz II Men,R & B,https://youtu.be/zDKO6XYXioc
Bump N’ Grind ,R. Kelly,R & B,https://youtu.be/uAXxkNaRkp8
We Can’t Be Friends,Deborah Cox,R & B,https://youtu.be/01yPbUXnJZk
Ramble On,Led Zeppelin,ROCK 'N' ROLL,https://youtu.be/_h9MxNn8P7w
Behind Blue Eyes,The Who,ROCK 'N' ROLL,https://youtu.be/BfuWXRZe9yA
Midnight Rider,The Allman Brothers,ROCK 'N' ROLL,https://youtu.be/XBf48xUIBLo
Long Train Runnin',The Doobie Brothers,ROCK 'N' ROLL,https://youtu.be/HP_NE4XZGAc
Love Is A Battlefield,Pat Benatar,ROCK 'N' ROLL,https://youtu.be/IGVZOLV9SPo
